TimeStamp,Scene,Event,Interaction
1720687906317,SampleScene,none,none,
1720687906331,SampleScene,none,none,
1720687906345,SampleScene,none,none,
1720687906358,SampleScene,none,none,
1720687906373,SampleScene,none,none,
1720687906386,SampleScene,none,none,
1720687906400,SampleScene,none,none,
1720687906414,SampleScene,none,none,
1720687906428,SampleScene,none,none,
1720687906442,SampleScene,none,none,
1720687906457,SampleScene,none,none,
1720687906470,SampleScene,none,none,
1720687906484,SampleScene,none,none,
1720687906498,SampleScene,none,none,
1720687906512,SampleScene,none,none,
1720687906526,SampleScene,none,none,
1720687906539,SampleScene,none,none,
1720687906553,SampleScene,none,none,
1720687906567,SampleScene,none,none,
1720687906581,SampleScene,none,none,
1720687906595,SampleScene,none,none,
1720687906609,SampleScene,none,none,
1720687906622,SampleScene,none,none,
1720687906636,SampleScene,none,none,
1720687906650,SampleScene,none,none,
1720687906664,SampleScene,none,none,
1720687906678,SampleScene,none,none,
1720687906692,SampleScene,none,none,
1720687906706,SampleScene,none,none,
1720687906720,SampleScene,none,none,
1720687906733,SampleScene,none,none,
1720687906747,SampleScene,none,none,
1720687906762,SampleScene,none,none,
1720687906775,SampleScene,none,none,
1720687906789,SampleScene,none,none,
1720687906803,SampleScene,none,none,
1720687906817,SampleScene,none,none,
1720687906831,SampleScene,none,none,
1720687906845,SampleScene,none,none,
1720687906858,SampleScene,none,none,
1720687906873,SampleScene,none,none,
1720687906886,SampleScene,none,none,
1720687906900,SampleScene,none,none,
1720687906914,SampleScene,none,none,
1720687906927,SampleScene,none,none,
1720687906942,SampleScene,none,none,
1720687906956,SampleScene,none,none,
1720687906970,SampleScene,none,none,
1720687906984,SampleScene,none,none,
1720687906998,SampleScene,none,none,
1720687907012,SampleScene,none,none,
1720687907025,SampleScene,none,none,
1720687907039,SampleScene,none,none,
1720687907054,SampleScene,none,none,
1720687907067,SampleScene,none,none,
